TimeStamp,Voltage,Current,RealPower,PowerFactor,ApparantPower,Reactivepower,Frequency,Remarks
2021-08-10 09:03:08.915356,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.919236,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.923278,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.926521,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.930292,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.934342,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.938414,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.942285,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.946171,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.949463,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.953292,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.957367,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.961236,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.965210,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.968582,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.972480,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.976447,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.980352,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.984313,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.988205,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.991517,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.995502,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:08.999406,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.003323,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.007186,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.010714,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.014497,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.018465,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.022432,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.026353,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.030155,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.033622,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.037495,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.041399,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.045349,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.049287,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.052613,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.056522,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.060569,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.064296,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.068216,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.072206,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.075770,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.079409,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.083444,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.087634,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.091448,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.094641,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.098619,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.102747,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.106397,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.110211,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.114294,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.117569,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.121610,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.125462,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.129484,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.133373,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.136756,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.140647,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.144587,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.148318,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.152323,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.156238,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.159700,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.163682,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.167495,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.171483,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.175389,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.178729,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.182541,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.186574,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.190788,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.194425,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.198331,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.201721,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.205672,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.209327,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.213306,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.217485,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
